Fold,Validation Accuracy,Model,Validation Positive Parity,Training Accuracy,Validation Accuracy Parity,Validation Counterfactual Invariance,Validation Recall Parity,Validation TNR Parity
1,0.9849548645937812,XGBClassifier_3,1.4017954601144995,1.0,0.0133368135829169,1.0,1.0004359197907584,0.0004301075268816
2,0.9829488465396188,XGBClassifier_3,1.293897846298694,1.0,0.0083123655780041,0.9939819458375124,1.001578231292517,0.0015487316421896
3,0.9869608826479438,XGBClassifier_3,1.2885003885003887,1.0,0.0056758775205376,1.0,1.0063492063492063,0.0063091482649841
4,0.99000999000999,XGBClassifier_3,1.462843197071385,1.0,0.0123507805325987,0.999000999000999,1.0061349693251531,0.0060975609756097
0,0.9909729187562688,RPT_XGBClassifier_3,1.338860103626943,1.0,0.0155440414507772,1.0,1.0066889632107023,0.0066445182724252
1,0.9849548645937812,RPT_XGBClassifier_3,1.4017954601144995,1.0,0.0133368135829169,1.0,1.0004359197907584,0.0004301075268816
2,0.9829488465396188,RPT_XGBClassifier_3,1.293897846298694,1.0,0.0083123655780041,0.9939819458375124,1.001578231292517,0.0015487316421896
3,0.9869608826479438,RPT_XGBClassifier_3,1.2885003885003887,1.0,0.0056758775205376,1.0,1.0063492063492063,0.0063091482649841
4,0.99000999000999,RPT_XGBClassifier_3,1.462843197071385,1.0,0.0123507805325987,0.999000999000999,1.0061349693251531,0.0060975609756097
0,0.99197592778335,Massage_XGBClassifier_3,1.3344847438111689,0.9316132264529058,0.0138169257340241,0.995987963891675,1.0066889632107023,0.0066445182724252
1,0.9849548645937812,Massage_XGBClassifier_3,1.4017954601144995,1.0,0.0133368135829169,1.0,1.0004359197907584,0.0004301075268816
2,0.9829488465396188,Massage_XGBClassifier_3,1.293897846298694,1.0,0.0083123655780041,0.9939819458375124,1.001578231292517,0.0015487316421896
3,0.9869608826479438,Massage_XGBClassifier_3,1.2885003885003887,1.0,0.0056758775205376,1.0,1.0063492063492063,0.0063091482649841
4,0.99000999000999,Massage_XGBClassifier_3,1.462843197071385,1.0,0.0123507805325987,0.999000999000999,1.0061349693251531,0.0060975609756097
0,0.9889669007021064,XGBClassifier_4,1.3301093839953946,1.0,0.0189982728842832,0.9979939819458375,1.0134680134680134,0.0132890365448504
1,0.9839518555667,XGBClassifier_4,1.3971842908378072,1.0,0.0150520794491261,0.9989969909729188,1.003827227993439,0.003763440860215
